Name,Latitude,Longitude,NOAA,Lightning,PIREP,SO2
Buldir,52.3488,175.909,Y,Y,Y,Y
Unimak 5270,54.80321,-163.65937,N,N,N,N
Monogenetic QT vents of WWVF,62.137,-143.165,N,N,N,N
Ingenstrem Depression Volcanic Field,52.5,175.1,N,N,N,N
Western Cones,53.6,171.8,N,N,N,N
Buzzard Creek,64.061082,-148.431932,Y,N,Y,Y
Capital,62.4238,-144.1127,N,N,N,N
Carlisle,52.8906,-170.0576,Y,Y,Y,Y
Chagulak,52.5714,-171.1395,Y,Y,Y,Y
Chiginagak,57.13348,-156.99147,Y,Y,Y,Y
Mt Churchill,61.4187,-141.7152,Y,Y,Y,Y
Cleveland,52.8222,-169.945,Y,Y,Y,Y
Cone 3110,58.5745,-154.5435,N,N,N,N
Cone 3601,58.54412,-154.51546,N,N,N,N
Akutan,54.13308,-165.98555,Y,Y,Y,Y
Alagogshak,58.15737,-155.39839,N,N,N,N
Dana,55.64205,-161.21551,Y,Y,Y,Y
Davidof,51.9542,178.326,Y,Y,Y,Y
Denison,58.4173,-154.451,Y,Y,Y,Y
Devils Desk,58.4753,-154.3001,N,N,N,N
Double Glacier,60.716141,-152.66837,N,N,N,N
Amak,55.41728,-163.14687,Y,Y,Y,Y
Douglas,58.8596,-153.5351,Y,Y,Y,Y
Drum,62.1159,-144.6399,N,N,N,N
Duncan Canal,56.4996,-133.102,Y,Y,Y,Y
Dutton,55.1867,-162.2744,Y,Y,Y,Y
Amchixtam Chaxsxii,51.8475,179.82972,N,N,N,N
Edgecumbe,57.0509,-135.7611,Y,Y,Y,Y
Emmons Lake Volcanic Center,55.3409,-162.0726,Y,Y,Y,Y
Espenberg,66.3493,-164.333,N,N,N,N
Agrigan,18.77,145.67,Y,N,N,Y
Pagan,18.13,145.8,Y,N,N,Y
Ruby,15.62,145.57,Y,N,N,Y
Sarigan,16.708,145.78,Y,N,N,Y
Supply Reef,20.13,145.1,Y,N,N,Y
Diakoku seamount,21.324,144.194,Y,N,N,Y
East Diamante,15.93,145.67,Y,N,N,Y
Fukujin Seamount,21.93,143.47,Y,N,N,Y
Kasuga 2,21.6,143.637,Y,N,N,Y
South Sarigan Seamount,16.58,145.78,Y,N,N,Y
Zealandia Bank,16.88,145.85,Y,N,N,Y
Ahyi Seamount,20.42,145.03,Y,N,N,Y
Alamagan,17.6,145.83,Y,N,N,Y
Anatahan,16.35,145.67,Y,N,N,Y
Asuncion,19.67,145.4,Y,N,N,Y
Esmeralda Bank,15.0,145.25,Y,N,N,Y
Farallon de Pajaros,20.53,144.9,Y,N,N,Y
Guguan,17.32,145.85,Y,N,N,Y
Maug Islands,20.02,145.22,Y,N,N,Y
