Name,Latitude,Longitude
Sergief,52.0533,-174.9521
Black Peak,56.5512,-158.787
Shishaldin,54.7554,-163.9711
Skookum Creek,62.3996,-143.1371
Snowy,58.3336,-154.6859
Spurr,61.2989,-152.2539
St. George volcanic field,56.58,-169.63
St. Michael,63.4493,-162.123
St. Paul Island,57.18,-170.3
Steller,58.4301,-154.3903
Blue Mtn,57.7051,-156.8467
Suemez Island,55.2268,-133.4032
Table Top Mtn,53.9671,-166.679
Takawangha,51.867,-178.027
Tana,52.839,-169.758
Tanada Peak,62.302,-143.506
Bobrof,51.9072,-177.4409
Tanaga,51.884,-178.143
Tlevak Strait,55.2496,-133.302
Togiak volcanics,59.27,-160.05
Trader Mtn,55.56377,-161.94523
Trident,58.2343,-155.1026
Bogoslof,53.9272,-168.0344
Ugashik-Peulik,57.7503,-156.37
Ukinrek Maars,57.8338,-156.5139
Uliaga,53.065,-169.767
Ungulungwak Hill-Ingrichuak Hill,62.1778,-164.0936
Unnamed (near Ukinrek Maars),57.869,-155.422
Adagdak,51.9898,-176.58705
Veniaminof,56.1979,-159.3931
Stepovak Bay 1,55.8681,-160.0956
Stepovak Bay 2,55.9125,-160.041
Stepovak Bay 3,55.9292,-160.002
Stepovak Bay 4,55.952,-159.958
Vsevidof,53.1256,-168.6937
Westdahl,54.5171,-164.6476
Wide Bay cone,53.9611,-166.615
Wrangell,62.00572,-144.01935
Yantarni,57.0179,-157.1864
Yunaska,52.64378,-170.65152
Mafic Knob 500,57.82344,-156.42616
Lone basalt,57.63482,-156.99332
Buldir,52.3488,175.909
Unimak 5270,54.80321,-163.65937
Monogenetic QT vents of WWVF,62.137,-143.165
Ingenstrem Depression Volcanic Field,52.5,175.1
Western Cones,53.6,171.8
Buzzard Creek,64.061082,-148.431932
Capital,62.4238,-144.1127
Carlisle,52.8906,-170.0576
Chagulak,52.5714,-171.1395
Chiginagak,57.13348,-156.99147
Mt Churchill,61.4187,-141.7152
Cleveland,52.8222,-169.945
Cone 3110,58.5745,-154.5435
Cone 3601,58.54412,-154.51546
Akutan,54.13308,-165.98555
Alagogshak,58.15737,-155.39839
Dana,55.64205,-161.21551
Davidof,51.9542,178.326
Denison,58.4173,-154.451
Devils Desk,58.4753,-154.3001
Double Glacier,60.716141,-152.66837
Amak,55.41728,-163.14687
Douglas,58.8596,-153.5351
Drum,62.1159,-144.6399
Duncan Canal,56.4996,-133.102
Dutton,55.1867,-162.2744
Amchixtam Chaxsxii,51.8475,179.82972
Edgecumbe,57.0509,-135.7611
Emmons Lake Volcanic Center,55.3409,-162.0726
Espenberg,66.3493,-164.333
Agrigan,18.77,145.67
Pagan,18.13,145.8
Ruby,15.62,145.57
Sarigan,16.708,145.78
Supply Reef,20.13,145.1
Diakoku seamount,21.324,144.194
East Diamante,15.93,145.67
Fukujin Seamount,21.93,143.47
Kasuga 2,21.6,143.637
South Sarigan Seamount,16.58,145.78
Zealandia Bank,16.88,145.85
Ahyi Seamount,20.42,145.03
Alamagan,17.6,145.83
Anatahan,16.35,145.67
Asuncion,19.67,145.4
Esmeralda Bank,15.0,145.25
Farallon de Pajaros,20.53,144.9
Guguan,17.32,145.85
Maug Islands,20.02,145.22
